"location","company_name","job_title","job_description"
"Brussel","ILSI Europe a.i.s.b.l","nieuwScientific Project Manager & Communication Officer","Organisation

ILSI Europe brings together scientists from industry, academia and the public sector to deliver science of the highest quality and integrity in the areas of food safety, nutrition, consumer behaviour and sustainability. ILSI Europe has 43 member companies (most of them are European and worldwide leaders in their field). ILSI Europe activities are coordinated by a staff of 15. ILSI Europe manages an ecosystem of 15 task forces and 35 expert groups that gather external collaborating scientists. It organises many events (webinars, workshops).

Location

ILSI Europe is located in Brussels and the role is expected to be fulfilled partly in its office and partly from home (address in Belgium).

Mission

The Scientific Project Manager & Communication Officer position will have a mixed responsibility between science and communication. The person will be responsible primarily to EU-funded projects in the field of food safety, sustainability and/or nutrition under the supervision of the Scientific Unit Coordinator (SUC), and to internal and external communication under the Communication Manager (CM).

Reporting & supervisory relationships

Reports to the Scientific Unit Coordinator
Reports to the Communication Manager

Responsibilities

Manages activities related to EU funded (Horizon 2020 and Horizon Europe) projects:

Ensures the execution and excellent management of the projects’ tasks including communication, dissemination and exploitation activities
Participates in teleconferences, project meetings, workshops, conferences, etc related to these EU funded projects
Supports the preparation and processing of technical and financial reports & ensuring that reporting and reviewing processes are performed according to Commission procedures
Project progress monitoring and evaluation
Participation in writing proposals for submission under EU funded programmes

Communication:

Implements ILSI Europe’s Communication Plan through our channels like Website, social media (LinkedIn, Twitter and YouTube) and others. This includes:
The development and execution of communication and dissemination of corporate activities
The communication and dissemination of scientific deliverables with the support of the Scientific department
Supports in the draft and development of corporate documents including Activity & Budget Document, Annual Report, Newsletter and/or other communication materials
Develops of communication outputs, including graphic designs and audio-visual materials, among others.

Experience required

A MSc in life sciences (food safety, nutrition, toxicology, biology, agriculture, sustainability)
2+ years’ experience with EU projects
2+ years’ experience in disseminating EU funded projects and dissemination of scientific and corporate activities (WordPress, Mail Chimp, Adobe Illustrator, Adobe InDesign and Adobe Premiere)
Strong verbal and written communication skills in English is a must and another European language would be an asset
Autonomous and independent in task accomplishment
Strong team and constructive spirit, eager to contribute to common objectives.
Creative and problem-solver mindset
European citizenship or holding an EU working permit.

If you are passionate about excelling at your job, managing projects and developing your career in an international and highly qualified environment with multiple contact opportunities and large visibility, we would welcome your application. If you wish to apply for this position, please get in contact with sending your CV (First & Last name as title of the file) by 31 December 2021 for the attention of the Human Resources & Office Manager; Subject matter: your name, date, application for SPMCO.

Do not forget to mention that you found this job ad on the EURACTIV Jobsite!"
"België","TMC","nieuwPROJECT MANAGER – INDUSTRIAL AUTOMATION","Belgium
This company is a pioneer and one of the leading global industrial robotics companies and has the widest global footprint of any robotics company with presence in 53 countries. You will be working into a new area of robotics, outside the traditional manufacturing segments. The aim is to become the global leader in robotic products and solutions for the non-manufacturing markets such as intralogistics, healthcare and retail.
| Your challenges?

This role will lead and manage one or more end-to-end projects to deliver systems solutions to customers that meet defined specifications, schedule and budget.
Acts as key contact for the customer and an internal escalation point for project issues;
Builds and maintains strong relationships with internal and external stakeholders and effectively communicates with all stakeholders, including management and customer reporting;
Define a project plan including scope and financial plans, schedule, risk management and HSE;
Effectively monitor and control project progress and efficient resource utilization;
Monitor and control project financials, overseeing project invoicing status, cost, expenses;
Identifies, qualifies, quantifies and manages project risks, and ensures that all opportunities are identified and pursued;
Capture, analyse and share lessons learned throughout the project;
Drive the formal acceptance of the project, contract close-out and its acknowledgement by the customer;
Ensure a smooth transition from the project team to the service team.
| What do we expect from you?
Master Industrial Engineering - Broad Technical background (rather generalist than specialist);
Experience in project management (minimum 3 years), in (international) industrial automation environment;
A customer minded person with strong interpersonal and people management skills;
Outstanding planning & organizing skills;
Result driven mindset and stress resistant person;
Professional communication skills in Dutch and English.
A good knowledge of MS Project;
Willing to travel 10% for short business trips.| What can you expect from TMC?

TMC is an international high-tech consultancy company that brings expertise to its clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world.

At TMC we believe that people are the driving force behind technological innovation. That is why we want to create the best possible conditions for tech talents to thrive in. We offer you a challenging and stimulating work environment in which you can be the director of your own career.
As an Employeneur you are part of our TMC family. Next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture.
| Why choose for Employeneurship?

We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21st century for high skilled technical professionals. It is built around 5 main pillars:

You will have a permanent employment contract, offering you stability and security
You will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing
We will support you with one-on-one coaching and training designed to help you develop your entrepreneurial skills
The competence cells structure provides you with a strong meaningful and relevant network
The entrepreneurial lab: a playground for new ideas and a potential launching for start-ups
TMC is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Is TMC a perfect fit for you?
Feel Free to Contact
Mie Vandenbergh
Business Manager, Belgium
Tel: (+32) 486 48 31 62"
"België","Siron Clinical","Clinical Project Manager","To expand the international team we are looking for a Clinical Project Manager in Belgium.

The Clinical Project Manager (CPM) is responsible for the management of all aspects of Clinical Trial Team activities for assigned project(s). The CPM, in collaboration with the Director Clinical Operations (DCO), is accountable for achieving successful delivery of the Siron Clinical team activities at the project level by meeting company and regulatory requirements according to time, quality/scope and budget constraints.

Your responsibilities will include:
Proactively manage on a project level complex multi-center clinical research projects
Provide updates on trial progress to the Director of Clinical Operations (DCO) with respect to project plans, trial budget and timeline management, quality standards and risk mitigation.
Delivery of clinical research projects on time, within budget and in accordance with high quality standards
Lead the study startup process, including but not limited to conduct of the Trial Kick-off meeting, the set-up of trial master file (TMF), site selection and finalization of site and vendor Clinical Trial Agreements and budgets.
Ensure effective project plans are in place and operational for each trial and work proactively with the Clinical Trial Team (CTT) to set priorities in accordance with applicable project plans, company standard operational procedures (SOPs), ICH/GCP guidelines and regulatory requirements.
Ensure potential study risks are escalated to the attention of the DCO when appropriate. Training, mentoring and coaching team members
Review and approve site visit reports; ensure tracking, follow up and timely resolution of site issues.
Being the primary point of contact to client on all project matters
Attending bid defense meetings, participating in development of proposals and client presentations
Other duties as assigned
Qualifications
University or HBO degree, preferably in science or health related discipline;
10 years of experience in clinical research with increasing levels of responsibility;
At least 1-2 years of project management experience;
Therapeutic experience (preferred) in oncology, cardiology and/or rare disease indications;
Full working proficiency in English;
Proficiency in MS Office applications, including MS Project/ PC skills to be able to work with MS Word, Excel, PowerPoint and MS Project;
Excellent communication, presentation and customer-service skills;
Ability to negotiate and build relationships at all levels;
Team-building and organizational skills."
"Aalst","Globis","Project manager","Globis NV has built a future-proof, scalable and configurable platform for the logistics industry. From our head office in Aalst, we offer mid-sized and large companies integrated applications for Transport, Warehouse and Forwarding management systems, based on open standard software. In recent years we have continued to expand our customer base, both in Belgium and abroad. For the last 4 years, we have been nominated by Deloitte as one of the 50 fastest growing technology companies in Belgium. Globis is driven by human capital as its main resource, giving our team members the opportunity to grow with the company. To expand and strengthen the existing team, we are looking for new colleagues.
Do you want to be part of our team?

The Project Manager (PM) will utilize best practices and methodologies to design, implement, and maintain Globis Solutions for our clients. This PM will work extensively with internal teams, clients, and vendors providing subject matter expertise and hands-on implementation experience. As a project manager, you’ll be required the ability to deliver exceptional customer satisfaction. This position will be expected to accomplish a full range of functional implementation duties ranging from from sales assistance, business requirements, budgeting, planning, follow up and relation management with all stakeholders. You have a strategic vision and a hands-on mentality. Ability to provide exceptional client service, research and issue resolution, demonstrate commitment to continuous learning regarding strategies and regulations.
JOB DESCRIPTION :
Understand client business requirements and understand the gap between input gathered and the desired solution
Set up project plans and milestones in agreement with the customer
Guide the configuration of the solution and assist the client in implementing the solution.
Guide the client through the implementation process: take responsibility for all project phases and work directly with clients in accomplishing project objectives
Coordinate all the members of the project team
Follow up the financial status of the project and monitor scope deviations
Support change management during the migration process at the customer side
Manage day-to-day project activities and assign project responsibilities to team members
Provide status reports and keep team, management and client informed of overall project status
Coordinate all tasks relating to feature testing, solution testing and user acceptance testing
Identify opportunities to position other service offerings
PROFILE :
5+ years of experience in a project manager role.
Strong understanding of software implementation life cycle, project management, business process management, requirements definition, functional design, quality management, and change management
Must be fluent in Dutch and English and a working knowledge of French
Expertise in Supply Chain Management is a must
Knowledge of warehouse and transport processes is a plus
Demonstrated leadership, analytical mindset and organizational skills
Strong interpersonal and communication skills and solution-oriented person
OFFER :
We offer you an interesting job in a fast-growing company with a horizontal structure and an open communication culture. At Globis, we care about each team member providing training and career plans, a pleasant working environment and flexible working hours. In addition to an excellent salary with fringe benefits, a laptop, smartphone and company car are made available."
"Brussel•Thuiswerken","Cmed","nieuwAssociate Project Manager, CRO Services, Belgium","We are currently looking for an enthusiastic and talented global Associate Project Manager to be home-based anywhere in Belgium.

The Associate Project Manager provides superior project task delivery and supports the CROPM through specific project planning, financial management, tracking, and organizational tasks and delivers all tasks accurately and in compliance. Provides leadership on projects through strong team co-ordination and support, project planning, financial management, risk and issue management, and client management where required to clinical projects, and delivers to budget, schedule and client satisfaction.

Please note, this is not a Clinical Operations position, e.g. it is not a Clinical Project Manager /Leader position.
The key areas of responsibility are:
Project manager support

Team co-cordination and support

Project planning and timeline managment

Project financial managment

Client management

Risk and Issue management
Qualifications and attributes:
Knowledge of clinical trial project management with related experience level

University/college degree

Understanding of managing project budgets

PM certification desirable
What we offer:
Opportunity to be part of an innovative organization and work with exciting technologies

Mentorship and training to further develop your skills in the clinical trials industry

The chance to both lead and be part of an effective, dynamic, friendly, and supportive team

Competitive employment package

For more information on Cmed Recruitment and consideration for other opportunities, please review the recruitment statement on our careers page ( https://www.cmedresearch.com/careers/ ).

Please be aware that we do not accept resumes from outside agencies or recruiters unless specifically requested by a Cmed HR or Recruitment Manager. Unsolicited agency or recruiter resumes will not be eligible for referral fees and will be considered candidates Cmed may directly contact for employment application."
"Gent","ATCON GLOBAL","Project Manager","For one of our clients, we are looking for a Project Manager who can manage overall performance and workload on the Netezza / IPS eco-system.Languages: ENG (mandatory) and Dutch / French (good to have)Employment Type: Permanent or FreelanceStart date: ASAPResponsibilities: Understanding the current usage & maximum capacity for all the infrastructure & IT services components (Server, Database, Storage, network etc).Perform trend analysis from historical data & estimate the overall growth of the various capacities (Organic & in-organic growth), based upon input from HCL DBA’s and turn these into improvement actionsForecasting future capacity requirements based on usage trends and extra loading requirementsProduction of regular management reports that include current usage of resources, trends, forecasts & action items for relative teams.Analysis of usage and performance data and reporting on Service and Component performance against targets contained in SLA/KPIs.Review & revise capacity plan, which is in line with business expansion or new services introduction (Project Services).Liaise with Incident & Problem management teams on capacity incidents & apply the learnings from them.Accumulate information for all new or changed infrastructures and define expansion requirementsAsses all capacity & performance-related change requests.Setup governance with all key technical stakeholders, representing their domain/support areas on capacity & performance dataDevelop and maintain an emergency procedure in case of overload and congestion of the system. This is to assure that critical loads and reports are safeguarded at all times.Requirements: To have an understanding and experience in a capacity management role covering server, storage, networks, virtualised environments, applications, appliance & databases.Preferably knowledgeable about Capacity Management toolsets and data warehousing Sound knowledge & understanding of ITIL methodology and service management best practices.What we offer: ATCON is a Belgium-based IT consulting firm established with a vision to empower businesses using the latest technologies and provide best-in-class IT services to our clients. We are specialized in areas of Digital Transformation, Performance Management (EPM), Business Intelligence, Data Analytics, and NextGen innovations. Some of the benefits we offer:Join a young and dynamic company that values people.A contract with an attractive salary package and additional perks based on the performance.A flexible work environment where personal growth and entrepreneurship are encouraged.Relatively flat structure and opportunity to be a part of an international team.Job Type: Full-time"
"Ardooie","Sioen","nieuwProject Manager Knitwear (m/f)","Company
Sioen Industries is a diversified group with an extensive portfolio of products and activities: spinning, weaving and coating, manufacturing of clothing, production of fine chemicals and processing of technical textiles. Vertical and horizontal integration, diversification and permanent growth have driven us since 1960.
You will work in the Apparel division. This division specializes in high end protective clothing for a wide variety of markets.

Job descriptionThrough analysis of the market, the competition and our own range, you create new products and always take a significant degree of profitability and quality into account in order to approach the market with an optimal product mix.
You are responsible for the communication of new products to the sales team.
In this role, you are the central figure and the driving force to start new projects in this product range, to guide and complete them.
You succeed through your technical knowledge, your market knowledge, your project approach and commercial skills to realize new customer projects.
You collaborate with different product managers, local sales managers and sales directors. Internally, you cooperate with purchase, product development, R&D, planning and logistics.
You give feedback to the engineering department regarding market demands and ensure that they are treated in a professional manner.
You give support on technical and organizational matters to distributors, both by telephone and during customer visits at our headquarters.
You are internationally active for this function, on production as on sales side.
You like to make and maintain contacts, you have a hands on mentality.
You are fascinated by the knitwear market and actively seek new opportunities.ProfileYou have a higher education degree (bachelor or master).
You have at least 5 to 10 years experience in knitwear product development.
You are focused on sales and manage to get maximum results with a structured project approach.
Experience in the production of knitwear in an international context is a big plus.
Knowledge of knitting and apparel is also a big plus.
Languages: Dutch, Englisch and French are required, German is a plus.
We offerAn exciting and diverse job in a fast-growing and financially strong group.
An informal and open work environment in which you are given every opportunity to develop yourself further.
A competitive salary package adapted to your knowledge and results, supplemented with fringe benefits and the possibility to work flexible hours.
Contact
SIOEN Industries nv
Fabriekstraat 23
8850 Ardooie - Belgium
T +32 51 740 973
Julie.Debrauwer@sioen.com"
"Escanaffles+1 plaats","GALACTIC","nieuwProject Manager Senior","Mission

Your mission will be responsible for coordinating medium to large projects in Belgium or abroad, from the preliminary project to the realization and start-up.

Main Activities

Project Management
Coordination of internal and external teams to deliver all or part of the projects for which he/she is responsible.
Ensures the technical part of the equipment Contract review.
Participates to contract management by initiating, collecting, and consolidating the variation requests and change orders.
Validation and follow up of the CAPEX /OPEX models of projects
Provides instructions to the engineering team through project engineering instructions and procedures (existing or to be created)
Supervises the issue of engineering deliverables and approves the key engineering documents.
Participates to project planning definition by providing engineering milestones and requirements.
Ensures effective technical coordination with Client's representatives and as such participates to good communication with Client
Consolidates engineering budgets based on discipline departments budgets and controls it while the project. Alerts the Management in case of variation and suggests if needed mitigation measures.
Leads and attends the design and safety reviews and supervises the integration of the follow up action.
Ensures that the engineering final files are properly prepared and filed and that lessons learned for engineering are clearly identified and implemented for the next project.
Ensures that the activities for which he/she is responsible are carried out in accordance with the confidentiality rules in force and safety standards
Profile
Engineering degree (Process engineering, Electro mechanics, chemistry, …)
Proven track record in project management (similar size > 100 millions €) in the chemical industry/process industry.
Ready to travel 25% of its time.
Soft Skills
You stand out for your skills in terms of planning, organization, team management, communication, and customer orientation.
You are known to be autonomous
You can easily take Initiative
You have a synthetic mind.
Our offer:
A unique opportunity to join a European group active in Biotechnology and Bioplastic all over the world.
A challenging position and a large responsibility giving you the possibility to take an active part in the development of a young, sustainable, and innovative company.
A human sized company encouraging autonomy and team spirit.
An interesting salary package with extra-legal advantages.
Interested:

Apply without delay by logging on to our website www.Futerro.com or www.lactic.com under ""careers"".

Language
You express yourself professionally in English and French
Any other European language is a plus"
"Gent","Leap Forward","Project Manager","Project Manager
As a project manager you will be responsible for different design & technology projects from kick-off to delivery. Acting as the key facilitator of an engaging collaboration between customers and stakeholders.
Designing & building innovative digital products & services takes more than just a bunch of designers & developers. It requires managing a dedicated team with a clear vision and keeping an open communication with the different stakeholders. And that's where you come in!
Gallery
Text block
Great workspace & atmosphere:
A place in an inspiring studio in the buzzing centre of Ghent where we create time and space for creativity. On Fix-It Fridays, for example, we clear our schedules and fix practical matters that otherwise disturb our flow, and during our Leap Forward Labs, we learn something cool like 3D, do some creative knitting together, or make a stop-motion movie. Anything is possible!
Amazing colleagues:
Work within a diverse team of digital experts that tackles challenges for small and high-profile companies. We share our expertise and know-how so that we can learn from one another. On Friday afternoons, we have a Take The Stage-moment and update each other on projects and workflow over a beer.
A huge range of projects:
Challenging and diverse projects for startups, established companies and other agencies.
Training & personal growth:
Everyone is free to pick an annual design conference and an extra training. Pick any conference in Europe you want to attend, we take care of your flight, tickets, accommodation, and we even throw in some extra allowance.
Competitive salary
We'll offer competitive salary with great benefits and all the professional equipment you could wish for: an ergonomic setup, a Macbook Pro, an extra screen, external keyboard and mouse, you know the drill
Gallery
The project manager of our dreams
Easily manages design & innovation projects from start to finish.
Coaches and facilitates teams towards great results.
Controls budgets and pro-actively reports and acts upon them.
Manages the expectations of different stakeholders.
Takes responsibility as a key communicator towards our customers.
Runs retrospects and reflects with the team to improve the process.
Stays up to date on design, innovation and PM topics.
Has a minimum of 3 years experience in a similar role.
Is proficient in both classic project management as well as in agile methods.
Has experience in delivering complex, digital projects across different channels
Want to become part of our team?"
"Brussel","Kyndryl","nieuwProject Manager","489733BR
Why Kyndryl
We design, build, manage and modernize the mission-critical technology systems that the world depends on every day. Our people are at the center, discovering, co-creating, and strengthening. We push ourselves and each other to seek better, to go further, and we carry this energy to our customers. In October 2020, IBM announced it's intention to separate the IT Infrastructure Services unit of its Global Technology Services division into a new, separate public company, creating two industry-leading companies - IBM and Kyndryl. The spin-off is expected to be completed by the end of 2021. To find out more about Kyndryl, including information relating to privacy, please visit Kyndryl.com.
Please be aware Kyndryl will continue to use some IBM systems for a certain period after spin-off. This means when you sign up to either the IBM or Kyndryl candidate portal, you will have the benefit of being able to see and apply for IBM and Kyndryl jobs and to access information about IBM and Kyndryl jobs you have applied to, for a limited period from either candidate portal. If you have already signed up as a candidate on IBM’s portal, please continue to use this account to access IBM and Kyndryl jobs.
Your Role and Responsibilities
At the start of your career on this role you will have a possibility to acquire knowledge, develop your skills and eventually to gain extensive experience that will help you to solution and deliver more complex projects once you are ready. You will work within a matrix organization and cooperate with cross-functional teams from various parts of the world (Project Managers, Architects, IT Specialists). You will work with the support and mentorship offered by our Senior Project/Solution Managers so you will not be left alone in your journey.
Main responsibilities of a starting Project Manager are:
Assisting in the solutioning and management of multiple projects;
Coordinating project tasks delivery;
Tracking schedules and the progress of projects;
Reporting projects' results to our customers and management;Required Technical and Professional Expertise
Proficiency in verbal and written English/Dutch and/or French, knowledge of additional language is an advantage
Basic project management knowledge
Proactive way of working and can-do approach
Excellent time management, organization & communication skills
Attention to details and quality focus
Analyzing and problem solving skills
Interpersonal communication skills
Positive and professional attitudePreferred Technical and Professional Experience
Initial certifcation in project management (Agile, Prince2, PMP)
Technical background across various IT areas, with focus on HyperscalersRequired Education
Bachelor's Degree
Preferred Education
Master's Degree
Country/Region
Belgium
State / Province
BRUXELLES-CAPITALE, REGION DE
City / Township / Village
Brussels
Being You @ Kyndryl
Kyndryl is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. Kyndryl is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
Other things to know
For additional information about location requirements, please discuss with the recruiter following submission of your application.
Primary job category
Project Management
Role ( Job Role )
Project Manager
Employment Type
Full-Time
Contract type
Regular
Position Type
Professional
Travel Required
Up to 25% or 2 days a week (home on weekends- based on project requirements)
Company
(Y005) Kyndryl Belgium BV/SRL
Is this role a commissionable/sales incentive based position?
No"
